num_clients,dirichlet_alpha,round,loss,rouge1_f1,rouge2_f1,rougeL_f1,bleu1,bleu2,bleu3,bleu4,gini_coefficient,mean_contribution,min_contribution,max_contribution,cv_contribution
2,0.1,1,1.4199206233024597,45.03543174805651,20.975211906371186,31.199605501397844,32.94995198799266,21.78814137664051,16.128550715602977,12.006428009122832,0.0,0.10416666666666666,0.08333333333333333,0.125,0.0
2,0.3,1,1.6246544122695923,44.764984875296136,20.775820867416304,31.07509733472108,33.8173722001642,22.662665076805133,16.912524901085334,12.724649708677712,0.0,0.10101010101010101,0.09090909090909091,0.1111111111111111,0.0
2,0.5,1,1.6483522355556488,44.507430416931754,22.066619269512845,31.64886458227875,34.26006757899718,23.79144030584264,18.5419300787267,14.635606788004559,0.0,0.10101010101010101,0.09090909090909091,0.1111111111111111,0.0
3,0.1,1,1.5873321692148845,46.47242745755573,21.153563453950156,29.87777541521632,35.7967487535714,22.720032255097177,15.083850862286857,10.712460804097859,0.0,0.41452991452991456,0.07692307692307693,1.0,0.0
3,0.3,1,1.6012598673502605,46.08756812881168,18.845675175854083,28.903067199329666,34.560797631621504,21.7592149306315,14.148839835145791,9.791244738770805,0.0,0.4053030303030303,0.09090909090909091,1.0,0.0
3,0.5,1,1.636983593304952,46.888428757016605,21.534984436652092,29.981807725399676,34.855407899732434,22.78791636445132,15.87616599317763,11.351340532026713,0.0,0.1898148148148148,0.1111111111111111,0.3333333333333333,0.0
