accuracy_max,accuracy_mean,accuracy_min,accuracy_std,f1_max,f1_mean,f1_min,f1_std,loss_max,loss_mean,loss_min,loss_std,model,num_clients,num_runs,precision_mean,precision_std,recall_mean,recall_std,round,training_type
0.7145888594164457,0.6497347480106102,0.5848806366047745,0.09171756392578831,0.7072667780376299,0.6104453713489078,0.5136239646601856,0.136926146467232,0.1987713905797397,0.15552786558481127,0.11228434058988285,0.0611555795326477,BART-Large,2,2,0.5998018757050118,0.17071704611139304,0.6497347480106102,0.09171756392578831,1,Federated
0.7238726790450929,0.6737400530503979,0.6236074270557029,0.07089823959907561,0.7252943433328762,0.6511621990495606,0.5770300547662449,0.10483868385326411,0.15822642288054647,0.1333963057982293,0.10856618871591214,0.0351150883331248,BART-Large,2,2,0.6817767149324168,0.09300348733912224,0.6737400530503979,0.07089823959907561,2,Federated
0.7363395225464191,0.7037135278514589,0.6710875331564987,0.04614012418352535,0.7352843318177626,0.6856733908899305,0.6360624499620984,0.07016046550223067,0.1423873036121579,0.12426231551646139,0.10613732742076487,0.02563260398278491,BART-Large,2,2,0.7380289877172084,0.01701168178812967,0.7037135278514589,0.04614012418352535,3,Federated
0.7522546419098143,0.7251989389920424,0.6981432360742705,0.0382625420058503,0.7510589443760878,0.713565373029411,0.6760718016827343,0.05302391710027352,0.12933733604937317,0.11732663914526686,0.10531594224116056,0.01698569045533968,BART-Large,2,2,0.7446065787986724,0.024227503547550877,0.7251989389920424,0.0382625420058503,4,Federated
0.7636604774535809,0.7388594164456234,0.7140583554376658,0.03507399683869609,0.7630938374228343,0.7321399522836047,0.7011860671443751,0.04377540417203748,0.1322980710954976,0.11634453631547188,0.10039100153544617,0.02256170525370324,BART-Large,2,2,0.7568782194352626,0.02018499520901646,0.7388594164456234,0.03507399683869609,5,Federated
0.7586206896551724,0.7290450928381962,0.6994694960212201,0.041826210133846194,0.7586667709989753,0.7218181831640404,0.6849695953291057,0.05211177267046101,0.13398609480762544,0.12123383984515637,0.10848158488268729,0.018034411918763368,BART-Large,2,2,0.7589999092892505,0.02389341592662965,0.7290450928381962,0.041826210133846194,6,Federated
0.7575596816976128,0.7355437665782494,0.713527851458886,0.031135205749858605,0.7576552496975941,0.7299258257421118,0.7021964017866296,0.03921532743463643,0.13597570466284026,0.12343297210983334,0.11089023955682643,0.01773810248568089,BART-Large,2,2,0.7572779244409905,0.016742977679441568,0.7355437665782494,0.031135205749858605,7,Federated
0.7708222811671087,0.7486737400530503,0.726525198938992,0.03132276723027941,0.769947149754828,0.7406759177997913,0.7114046858447545,0.04139577321818174,0.13826819849861366,0.12699841454738459,0.11572863059615549,0.015937881308842824,BART-Large,2,2,0.7610803187381848,0.01893206181180721,0.7486737400530503,0.03132276723027941,8,Federated
0.7742705570291777,0.7468169761273209,0.7193633952254642,0.03882522644711278,0.7747307662929197,0.7402182014309124,0.7057056365689052,0.0488081373001318,0.14522412101894405,0.1321682841445391,0.11911244727013415,0.018463741575914242,BART-Large,2,2,0.7650048492749798,0.022748162886302558,0.7468169761273209,0.03882522644711278,9,Federated
0.7676392572944297,0.74973474801061,0.7318302387267904,0.025320799856812737,0.7659617663851932,0.7436232108004288,0.7212846552156643,0.03159148827179912,0.14585066511113856,0.1356336782593697,0.12541669140760084,0.014449001372359115,BART-Large,2,2,0.76757284823604,0.013972007427414604,0.74973474801061,0.025320799856812737,10,Federated
