class,precision,recall,f1,support,roc_auc,pr_auc
0,0.6607142857142857,0.4625,0.5441176470588235,160,0.9528609764542937,0.6125998856065882
1,0.6455696202531646,0.7846153846153846,0.7083333333333334,195,0.9646663080509235,0.7872599281350046
2,0.7596899224806202,0.49746192893401014,0.6012269938650306,197,0.9401326360563789,0.6812201715105403
3,0.5586206896551724,0.826530612244898,0.6666666666666666,196,0.9741364788780649,0.7413352933565066
4,0.8356164383561644,0.6321243523316062,0.7197640117994101,193,0.9575750947692585,0.768752890612132
5,0.7808219178082192,0.8636363636363636,0.8201438848920863,198,0.9831532005384189,0.8994796533792825
6,0.9310344827586207,0.6923076923076923,0.7941176470588235,195,0.9798171059709522,0.8797277011253432
7,0.5679442508710801,0.8232323232323232,0.6721649484536083,198,0.9752077041410748,0.8492459542274706
8,0.6526717557251909,0.8592964824120602,0.7418655097613883,199,0.9870220607377408,0.8974355921484097
9,0.8264840182648402,0.9095477386934674,0.8660287081339713,199,0.992624843624451,0.9195263136668077
10,0.9757575757575757,0.805,0.8821917808219178,200,0.9741911764705882,0.9146187573792238
11,0.8682634730538922,0.7323232323232324,0.7945205479452054,198,0.9697563541348535,0.8470644683256835
12,0.751412429378531,0.6751269035532995,0.7112299465240641,197,0.9595663187385368,0.7662240846224122
13,0.827906976744186,0.898989898989899,0.8619854721549637,198,0.9894585553180179,0.9414455805493741
14,0.8722222222222222,0.7969543147208121,0.8328912466843501,197,0.9778208248269239,0.8889568037477333
15,0.8571428571428571,0.09045226130653267,0.16363636363636364,199,0.9695438829543968,0.6852253254023983
16,0.6965174129353234,0.7692307692307693,0.7310704960835509,182,0.9769997978610019,0.7811387706553973
17,0.8316326530612245,0.8670212765957447,0.8489583333333334,188,0.9920977523551564,0.9140133555136036
18,0.7684210526315789,0.47096774193548385,0.584,155,0.9565778789095614,0.6486067393676295
19,0.247557003257329,0.6031746031746031,0.3510392609699769,126,0.9305642674193718,0.27170363632329675
