,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,68,2,0,0,0,0,0,7,2,0,0,1,3,2,4,0,2,10,3,56
true_1,0,146,5,13,0,15,0,2,2,0,0,0,6,0,3,0,0,1,1,1
true_2,0,14,110,40,0,15,0,5,2,0,0,0,9,0,1,0,1,0,0,0
true_3,0,2,10,167,1,1,1,3,4,1,0,0,5,1,0,0,0,0,0,0
true_4,0,11,5,85,68,2,1,10,2,1,0,0,8,0,0,0,0,0,0,0
true_5,0,10,5,6,1,171,0,2,1,0,0,0,1,0,0,0,0,0,0,1
true_6,0,1,4,22,2,1,133,16,7,1,0,0,6,0,2,0,0,0,0,0
true_7,0,0,0,4,0,0,1,155,24,0,0,0,6,1,1,0,2,3,0,1
true_8,0,1,1,0,0,0,1,13,175,0,0,0,2,0,0,0,3,2,1,0
true_9,0,0,0,0,0,1,0,9,4,179,3,0,0,0,0,0,0,1,1,1
true_10,0,1,0,1,0,0,0,9,3,20,162,0,1,0,0,0,1,1,0,1
true_11,2,2,2,4,0,5,0,2,2,0,0,141,12,2,5,0,6,5,6,2
true_12,1,5,1,25,3,1,2,5,4,0,0,2,142,3,3,0,0,0,0,0
true_13,0,1,0,0,0,1,2,6,1,0,0,0,3,174,4,0,1,1,1,3
true_14,1,2,0,3,0,2,0,8,6,1,0,1,5,3,160,0,3,1,1,0
true_15,10,1,0,0,0,0,0,10,0,0,0,0,0,3,2,0,1,1,2,169
true_16,2,0,1,0,0,1,0,2,5,0,0,8,0,0,3,0,142,2,9,7
true_17,3,0,0,1,0,0,0,5,3,0,0,1,0,1,1,0,2,160,3,8
true_18,5,0,1,1,0,0,1,8,3,3,0,7,0,6,4,0,25,11,73,7
true_19,11,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,15,3,1,82
