,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,67,2,0,0,0,0,0,7,1,2,0,1,1,2,2,0,2,7,2,64
true_1,0,150,4,12,0,13,0,2,2,0,0,0,6,1,2,1,0,1,1,0
true_2,0,21,77,65,0,15,0,5,2,1,0,0,10,0,0,0,1,0,0,0
true_3,0,3,5,167,3,1,1,2,3,2,0,1,7,1,0,0,0,0,0,0
true_4,0,15,3,49,98,3,1,10,1,1,0,0,10,1,0,0,0,1,0,0
true_5,0,11,3,5,2,172,0,1,1,0,1,0,1,0,0,0,0,0,0,1
true_6,0,1,1,24,2,4,130,14,7,0,0,0,9,1,2,0,0,0,0,0
true_7,0,2,0,4,2,0,2,155,19,1,0,0,8,1,0,0,2,1,0,1
true_8,0,0,0,0,1,0,1,18,168,2,1,1,2,0,1,0,1,1,1,1
true_9,0,1,0,0,0,0,0,9,3,179,2,2,0,0,0,0,0,1,0,2
true_10,0,1,0,1,0,0,0,8,1,14,169,0,0,0,1,0,1,2,0,2
true_11,4,2,2,2,0,5,0,2,3,0,0,144,10,3,5,0,5,3,6,2
true_12,1,7,0,13,2,1,2,7,2,2,0,1,152,4,2,0,1,0,0,0
true_13,0,2,0,0,0,1,2,3,3,0,0,0,4,175,2,0,0,1,1,4
true_14,1,4,0,1,0,1,1,9,5,2,0,0,10,1,156,0,3,0,3,0
true_15,7,1,0,0,0,0,0,7,2,1,0,0,0,2,2,0,1,1,3,172
true_16,2,0,1,0,0,1,0,2,4,1,0,9,1,1,2,0,131,0,12,15
true_17,3,0,0,0,0,0,0,3,1,1,0,1,0,2,0,0,1,158,5,13
true_18,5,0,0,0,0,1,1,7,2,3,0,4,0,3,3,0,20,9,88,9
true_19,10,0,0,0,0,0,0,3,3,3,0,2,1,0,1,0,10,3,2,88
