client_id,round,contribution,scaled_contribution,data_size
3,1,95.42086791992188,0.0,47852
3,4,72.8487319946289,0.9753494380238352,47852
3,5,68.42984771728516,1.0,47852
2,1,95.75463104248047,1.0,47852
2,2,79.02838897705078,0.0,47852
2,3,71.31243133544922,0.0,47852
2,4,67.64686584472656,0.0,47852
2,5,64.37413787841797,0.0,47852
5,1,95.65463256835938,0.7003908839463278,47852
5,4,72.9802017211914,1.0,47852
1,2,81.9900131225586,1.0,47852
0,2,81.95942687988281,0.9896724765962709,47853
0,3,73.04259490966797,0.3172775044910431,47853
0,5,68.06087493896484,0.9090238717808837,47853
4,3,76.76558685302734,1.0,47852
