,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,69,1,0,0,0,2,0,0,1,1,1,3,0,2,16,19,5,11,20,9
true_1,0,134,3,13,4,20,1,0,1,0,0,0,6,0,10,1,0,1,1,0
true_2,0,17,97,32,9,20,1,0,0,1,2,1,4,0,13,0,0,0,0,0
true_3,0,1,9,142,11,4,10,0,1,0,1,1,10,1,4,0,0,1,0,0
true_4,0,9,1,31,121,3,6,1,0,0,0,1,7,1,11,0,0,0,1,0
true_5,0,14,2,4,1,169,1,0,0,0,0,0,1,0,5,0,1,0,0,0
true_6,0,0,1,4,2,1,172,0,0,0,0,1,1,0,11,0,0,2,0,0
true_7,1,1,0,2,0,0,6,143,12,0,1,0,7,0,17,0,4,0,3,1
true_8,0,0,0,0,0,0,12,23,135,1,2,1,2,2,11,0,2,3,4,1
true_9,2,0,0,0,0,1,1,0,0,163,17,2,0,0,12,0,0,1,0,0
true_10,1,0,0,1,0,0,0,0,0,6,178,1,0,0,11,0,1,0,0,1
true_11,4,3,1,3,1,4,1,0,0,0,0,144,11,3,8,0,6,3,6,0
true_12,0,4,0,14,7,2,9,3,2,0,0,6,138,5,5,0,1,1,0,0
true_13,0,4,0,0,0,0,3,1,0,0,0,0,4,173,10,1,0,1,1,0
true_14,0,0,0,0,1,0,1,1,3,0,0,4,7,2,172,0,0,1,5,0
true_15,12,1,0,0,0,0,0,1,0,0,0,0,0,2,13,153,0,3,9,5
true_16,2,1,1,0,0,0,0,1,0,1,1,9,0,0,3,0,132,3,25,3
true_17,3,0,0,1,0,0,0,0,0,0,1,3,0,1,9,0,2,158,9,1
true_18,7,0,0,0,0,1,1,2,1,1,1,5,0,5,10,0,20,6,95,0
true_19,25,0,0,0,0,0,1,0,0,0,2,3,0,2,9,56,15,1,6,6
