,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,101,3,0,0,0,0,0,1,0,2,1,3,1,2,0,11,2,6,1,26
true_1,1,154,5,10,0,13,0,0,1,0,0,4,2,1,2,1,0,0,1,0
true_2,0,13,132,21,3,9,0,0,1,0,3,7,4,0,2,0,2,0,0,0
true_3,0,4,11,150,13,5,5,0,1,1,1,3,1,1,0,0,0,0,0,0
true_4,1,7,7,17,136,3,3,1,0,1,0,10,7,0,0,0,0,0,0,0
true_5,1,9,2,1,3,178,0,0,0,0,1,1,0,0,1,1,0,0,0,0
true_6,0,2,2,4,7,1,164,7,1,0,0,3,2,0,2,0,0,0,0,0
true_7,0,1,0,2,7,0,5,151,6,0,2,9,8,1,0,1,2,1,1,1
true_8,2,0,1,0,0,0,8,22,142,0,2,7,4,1,3,0,3,0,4,0
true_9,2,1,0,1,0,0,2,0,1,175,6,10,0,0,0,0,1,0,0,0
true_10,0,0,0,1,1,0,0,0,0,10,175,7,0,0,1,1,1,1,0,2
true_11,4,3,3,0,2,4,0,1,0,0,0,158,4,3,1,0,5,2,6,2
true_12,1,11,2,12,1,2,7,5,0,1,1,6,141,6,0,0,0,0,0,1
true_13,0,1,0,0,3,1,2,0,0,0,0,3,1,181,1,0,4,0,1,0
true_14,4,1,0,0,3,0,0,0,3,1,0,9,8,4,154,0,3,2,3,2
true_15,7,2,0,0,2,0,1,0,0,0,0,6,0,2,1,159,0,4,1,14
true_16,3,1,1,0,1,0,0,1,0,2,1,13,1,0,0,0,138,0,9,11
true_17,1,1,0,0,0,1,0,0,0,0,0,6,0,1,2,1,1,161,5,8
true_18,6,1,0,0,1,0,1,2,0,3,2,7,0,2,3,1,16,12,92,6
true_19,18,0,0,0,1,0,2,2,0,1,3,4,0,0,1,34,10,1,3,46
