,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,100,2,0,0,0,2,1,5,0,0,2,3,0,0,4,4,1,5,9,22
true_1,0,154,1,10,2,14,1,2,0,0,0,0,6,0,3,1,0,0,1,0
true_2,0,24,99,28,7,22,3,6,0,1,1,1,2,0,3,0,0,0,0,0
true_3,1,10,9,146,14,3,6,3,0,0,2,1,0,0,1,0,0,0,0,0
true_4,1,15,4,20,130,4,6,10,0,0,1,0,2,0,0,0,0,0,0,0
true_5,1,11,0,2,1,179,2,1,0,0,1,0,0,0,0,0,0,0,0,0
true_6,1,0,1,3,2,2,177,5,0,0,0,0,1,0,2,0,1,0,0,0
true_7,1,3,0,2,2,0,5,163,5,0,3,0,6,1,0,0,2,0,4,1
true_8,2,1,0,1,1,0,11,32,137,0,1,1,2,0,3,0,2,1,4,0
true_9,2,0,0,0,0,1,2,9,1,164,15,1,0,0,0,0,0,3,1,0
true_10,2,0,0,1,0,0,0,8,1,4,178,0,0,0,1,1,2,0,2,0
true_11,6,2,2,1,1,7,1,2,0,0,0,151,8,1,2,0,4,3,7,0
true_12,3,10,0,14,11,4,12,6,1,0,0,3,126,4,2,0,0,0,1,0
true_13,1,2,0,0,0,1,2,7,0,0,0,0,3,173,1,0,1,1,4,2
true_14,6,10,0,0,3,3,1,10,2,0,1,1,6,3,145,0,2,0,4,0
true_15,19,1,0,0,0,0,2,8,0,0,1,0,0,1,2,138,0,2,3,22
true_16,5,1,1,0,1,1,0,2,0,0,2,12,0,1,1,0,137,1,14,3
true_17,9,0,0,0,0,2,0,4,1,0,0,3,0,0,1,0,0,156,9,3
true_18,12,0,0,0,0,1,1,5,1,1,1,5,0,2,4,0,21,4,96,1
true_19,37,0,0,0,0,0,1,3,1,1,0,2,1,0,3,35,12,0,3,27
