,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,82,1,1,0,0,1,0,2,0,2,2,1,1,7,6,8,1,8,3,34
true_1,0,149,3,8,3,19,1,1,1,0,0,1,4,2,2,0,0,0,1,0
true_2,0,9,134,19,6,12,2,1,1,1,1,0,4,5,2,0,0,0,0,0
true_3,0,5,14,145,12,6,7,0,1,0,1,1,0,3,0,1,0,0,0,0
true_4,1,6,4,12,145,3,3,1,0,0,1,0,5,9,1,0,0,0,2,0
true_5,0,8,3,0,2,181,0,0,0,0,1,0,0,1,2,0,0,0,0,0
true_6,0,0,2,4,8,1,163,5,2,2,3,0,0,2,3,0,0,0,0,0
true_7,0,1,0,4,2,1,4,151,9,2,2,0,3,12,1,0,2,1,1,2
true_8,0,0,1,0,1,1,6,17,154,0,3,0,2,9,2,0,2,0,1,0
true_9,0,0,0,0,0,1,1,0,1,178,5,2,0,9,1,1,0,0,0,0
true_10,0,1,0,0,0,1,0,0,1,13,174,0,0,7,1,0,1,1,0,0
true_11,1,0,4,0,1,9,0,0,0,1,0,155,7,4,3,0,6,2,3,2
true_12,0,12,2,13,1,3,6,6,2,1,0,4,140,4,2,0,1,0,0,0
true_13,0,1,0,0,0,1,2,1,0,0,2,0,1,183,4,0,2,1,0,0
true_14,1,2,1,0,2,1,0,1,2,1,1,2,5,10,164,0,1,1,2,0
true_15,7,1,0,0,1,1,0,0,0,0,3,0,0,8,2,134,1,1,1,39
true_16,2,0,3,0,0,0,0,1,2,2,0,8,0,1,2,0,145,0,13,3
true_17,2,0,0,1,0,1,0,0,1,0,0,1,0,4,2,1,1,160,9,5
true_18,0,1,0,0,0,1,1,1,0,1,2,4,0,8,4,1,15,7,107,2
true_19,11,0,0,0,0,0,1,2,1,1,2,2,0,2,3,17,16,0,5,63
