class,precision,recall,f1,support,roc_auc,pr_auc
0,0.583732057416268,0.7625,0.6612466124661247,160,0.9693170013850416,0.7320250950363953
1,0.7439613526570048,0.7897435897435897,0.7661691542288557,195,0.9637009144701453,0.7830900513657632
2,0.7336956521739131,0.6852791878172588,0.7086614173228346,197,0.9487860874210271,0.729619313823138
3,0.7313432835820896,0.75,0.7405541561712846,196,0.9756218379909323,0.7763784648716463
4,0.7717391304347826,0.7357512953367875,0.753315649867374,193,0.9712787947175464,0.8290972471561103
5,0.7835497835497836,0.9141414141414141,0.8438228438228438,198,0.9888929892429333,0.9230922313663736
6,0.8146341463414634,0.8564102564102564,0.835,195,0.9844475524475524,0.887412452906952
7,0.5897435897435898,0.8131313131313131,0.6836518046709129,198,0.9797619249606931,0.8501935956747352
8,0.8957055214723927,0.7336683417085427,0.8066298342541437,199,0.9846016697883143,0.8775772070873101
9,0.9166666666666666,0.8844221105527639,0.9002557544757033,199,0.9949896500142831,0.9426159993643094
10,0.8805970149253731,0.885,0.8827930174563591,200,0.9902163865546217,0.9367703058928325
11,0.8705882352941177,0.7474747474747475,0.8043478260869565,198,0.9632961756422003,0.8337394400588383
12,0.7487179487179487,0.7411167512690355,0.7448979591836735,197,0.9671428835271871,0.791397887596462
13,0.8695652173913043,0.9090909090909091,0.8888888888888888,198,0.990569892655559,0.9461658447392106
14,0.8489583333333334,0.8274111675126904,0.8380462724935732,197,0.9850358228166409,0.9010370062679997
15,0.8231292517006803,0.6080402010050251,0.6994219653179191,199,0.9703727261341711,0.78161672080927
16,0.7869822485207101,0.7307692307692307,0.7578347578347578,182,0.9708054626532887,0.8027668438978299
17,0.8983050847457628,0.8457446808510638,0.8712328767123287,188,0.9859299452344465,0.9076939234956058
18,0.7172413793103448,0.6709677419354839,0.6933333333333334,155,0.9639619863472093,0.7100565489835577
19,0.423728813559322,0.3968253968253968,0.4098360655737705,126,0.9276436150750093,0.36601815546755584
