class,precision,recall,f1,support,roc_auc,pr_auc
0,0.6392405063291139,0.63125,0.6352201257861635,160,0.9623865997229917,0.6883355590860452
1,0.7814207650273224,0.7333333333333333,0.7566137566137566,195,0.9656747355208893,0.7867668029870283
2,0.7763157894736842,0.5989847715736041,0.6762177650429799,197,0.9644108876358362,0.7409737811546521
3,0.5992366412213741,0.8010204081632653,0.6855895196506551,196,0.9797295946918219,0.7825855572588368
4,0.73,0.7564766839378239,0.7430025445292621,193,0.9754802197690774,0.8436982582706334
5,0.8301886792452831,0.8888888888888888,0.8585365853658536,198,0.9934486239777394,0.9296214762991043
6,0.8146341463414634,0.8564102564102564,0.835,195,0.9908682087143625,0.9066751674898826
7,0.5606557377049181,0.8636363636363636,0.679920477137177,198,0.98705702037169,0.8718686540179542
8,0.9562043795620438,0.6582914572864321,0.7797619047619048,199,0.9819096884590974,0.859490165513481
9,0.8888888888888888,0.8844221105527639,0.8866498740554156,199,0.9949150682001439,0.9447965114670154
10,0.9247311827956989,0.86,0.8911917098445595,200,0.9926645658263304,0.9433799069608311
11,0.8895348837209303,0.7727272727272727,0.827027027027027,198,0.9742441209406496,0.8673592634478231
12,0.8022598870056498,0.7208121827411168,0.7593582887700535,197,0.9679050862290643,0.8103788750388896
13,0.8786407766990292,0.9141414141414141,0.8960396039603961,198,0.9934875066454014,0.9492589787143372
14,0.9017341040462428,0.7918781725888325,0.8432432432432433,197,0.9855188590116796,0.8983136431116373
15,0.7523809523809524,0.7939698492462312,0.7726161369193154,199,0.9799543784450113,0.8412027226510961
16,0.6985645933014354,0.8021978021978022,0.7468030690537084,182,0.9830731559410488,0.8316814166354359
17,0.7934272300469484,0.898936170212766,0.8428927680798005,188,0.9927600472813238,0.9249355474544136
18,0.6928571428571428,0.6258064516129033,0.6576271186440678,155,0.9688207736581448,0.7185132578301779
19,0.4722222222222222,0.2698412698412698,0.3434343434343434,126,0.93984458034952,0.36713995296770413
